,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
342,hualmay,100,PE,1650897812,76,-11.0964,-77.6139,294.43,3.09
343,asau,55,RO,1650897515,62,46.4333,26.4,290.9,3.73
344,mecca,14,SA,1650897560,36,21.4267,39.8261,306.49,8.09
345,nome,100,US,1650897473,93,64.5011,-165.4064,272.19,2.06
346,margate,63,GB,1650897489,76,51.3813,1.3862,285.99,4.47
347,luau,100,AO,1650897534,76,-10.7073,22.2247,296.3,0.89
348,bambous virieux,75,MU,1650897441,69,-20.3428,57.7575,298.29,5.66
349,san juan,0,AR,1650897307,24,-31.5375,-68.5364,297.15,2.84
350,jyvaskyla,0,FI,1650897813,35,62.2415,25.7209,285.44,3.09
351,geraldton,100,AU,1650897471,73,-28.7667,114.6,294.38,6.69
352,lata,74,PT,1650897813,45,40.1629,-8.3327,295.64,4.41
353,maniitsoq,100,GL,1650897813,78,65.4167,-52.9,271.23,2.52
354,saint andrews,0,US,1650897814,70,34.0454,-81.1293,298.04,3.6
355,lixourion,0,GR,1650897814,94,38.2019,20.4314,292.15,3.6
356,celestun,0,MX,1650897553,64,20.8667,-90.4,301.49,4.61
357,bargarh,0,IN,1650897610,13,21.3333,83.6167,307.99,1.05
358,rorvik,40,NO,1650897815,65,64.8621,11.2373,280.21,5.66
359,tupik,100,RU,1650897815,65,54.4253,119.9327,272.14,2.36
360,paciran,84,ID,1650897815,84,-6.8767,112.3761,299.96,2.21
361,diveyevo,49,RU,1650897816,72,55.0433,43.2418,288.66,3.26
362,meulaboh,100,ID,1650897514,86,4.1363,96.1285,299.05,2.13
363,pochutla,3,MX,1650897538,49,15.7432,-96.4661,301.38,1.73
